Date,IBM Open,IBM Close,SPY Open,SPY Close,GS Open,GS Close
5/8/2013,202.94,204.82,162.42,163.34,149.13,150.26
5/7/2013,202.81,203.63,162.13,162.6,149.41,149.32
5/6/2013,203.79,202.78,161.49,161.78,145.92,148.45
5/3/2013,203.94,204.51,161.14,161.37,145.31,145.37
5/2/2013,200.12,202.39,158.68,159.75,142.68,143.67
5/1/2013,201.87,199.63,159.33,158.28,145.83,142.61
4/30/2013,199.13,202.54,159.27,159.68,145.19,146.07
4/29/2013,194.78,199.15,158.67,159.3,144.54,145.11
4/26/2013,194.16,194.31,158.33,158.24,144.5,144.11
4/25/2013,192.69,193.95,158.34,158.52,144.11,144.76
4/24/2013,192.16,191.71,157.83,157.88,143.27,143.93
4/23/2013,189.27,191.61,156.95,157.78,140.44,142.94
4/22/2013,191.15,187.83,155.78,156.17,139.01,139.52
4/19/2013,195.74,190,154.5,155.48,139.31,138.72
4/18/2013,210.11,207.15,155.37,154.14,140.09,138.6
4/17/2013,210.53,209.67,156.29,155.11,142.99,140.6
4/16/2013,210.84,212,156.29,157.41,148.13,144.1
4/15/2013,210.44,209.26,158,155.12,148.75,146.46
4/12/2013,210.79,211.38,158.68,158.8,148.4,149.12
4/11/2013,211.5,212.92,158.7,159.19,149.46,149.07
4/10/2013,211.86,212,157.17,158.67,147.3,149.46
4/9/2013,209.56,209.22,156.5,156.75,144.32,146.52
4/8/2013,209.07,209.32,155.27,156.21,143.83,143.82
4/5/2013,209.1,209.41,153.95,155.16,140.61,143.69
4/4/2013,212.77,211.31,155.43,155.86,143.52,142.99
4/3/2013,214.32,212.66,156.91,155.23,146.76,143.41
4/2/2013,212.92,214.36,156.61,156.82,145.27,146.68
4/1/2013,212.8,212.38,156.59,156.05,146.67,146.04
3/28/2013,209.83,213.3,156.09,156.67,148.12,147.15
3/27/2013,210.96,210.89,155.26,156.19,145.88,147.84
3/26/2013,211.77,212.36,155.59,156.19,148.29,146.54
3/25/2013,212.54,210.74,156.01,154.95,147.99,146.11
3/22/2013,212.21,212.08,154.85,155.6,146.51,146.6
3/21/2013,212.96,212.26,154.76,154.36,149.29,145.38
3/20/2013,214.76,215.06,155.52,155.69,150.02,150.13
3/19/2013,214.13,213.44,155.3,154.61,152.61,148.84
3/18/2013,212.9,213.21,154.34,154.97,152.53,151.95
3/15/2013,215.38,214.92,155.85,155.83,151.35,154.84
3/14/2013,212.15,215.8,156.31,156.73,152.27,154.02
3/13/2013,210.2,212.06,155.76,155.9,152.03,151.91
3/12/2013,209.4,210.55,155.92,155.68,153.3,151.85
3/11/2013,210.04,210.08,155.32,156.03,152.45,153.3
3/8/2013,209.85,210.38,155.46,155.44,155.89,152.98
3/7/2013,208.29,209.42,154.7,154.78,154.7,156.62
3/6/2013,207.03,208.38,154.84,154.5,154.06,154.13
3/5/2013,205.86,206.53,153.66,154.29,153.45,152.96
3/4/2013,202.59,205.19,151.76,152.92,150.01,152.18
3/1/2013,200.65,202.91,151.09,152.11,148.12,150.53
2/28/2013,202.18,200.83,151.9,151.61,151.35,149.76
2/27/2013,198.89,202.33,149.89,151.91,147.87,151.65
2/26/2013,198.63,199.14,149.72,150.02,148.11,148
2/25/2013,201.67,197.51,152.63,149,155.19,147.65
2/22/2013,199.23,201.09,151.15,151.89,152.37,154.09
2/21/2013,198.63,198.33,150.96,150.42,153.72,150.88
2/20/2013,200.62,199.31,153.14,151.34,158.22,155.18
2/19/2013,200.6,200.32,152.37,153.25,155.69,158.65
2/15/2013,199.98,200.98,152.43,152.11,156.4,154.99
2/14/2013,199.73,199.65,151.69,152.29,153.84,155.93
2/13/2013,200.65,200.09,152.33,152.15,154.11,154.52
2/12/2013,200.01,200.04,151.78,152.02,152.48,154.11
2/11/2013,200.98,200.16,151.74,151.77,151.42,152.24
2/8/2013,199.97,201.68,151.22,151.8,150.78,151.6
2/7/2013,200.62,199.74,151.21,150.96,150.76,150.26
2/6/2013,200.39,201.02,150.52,151.16,149.75,151.12
2/5/2013,204.31,202.79,150.35,151.05,148.35,150.45
2/4/2013,204.19,203.79,150.32,149.54,148.25,147.52
2/1/2013,204.65,205.18,150.65,151.24,148.51,149.9
1/31/2013,203.32,203.07,149.89,149.7,146.26,147.86
1/30/2013,203.69,203.52,150.64,150.07,146.81,147.15
1/29/2013,204.34,203.9,149.77,150.66,144.1,147.1
1/28/2013,204.85,204.93,150.29,150.07,144.43,144.15
1/25/2013,204.45,204.97,149.88,150.25,144.18,144.46
1/24/2013,203.91,204.42,149.15,149.41,145,144.96
1/23/2013,203.5,204.72,149.13,149.37,145.78,145.56
1/22/2013,194.36,196.08,148.33,149.13,144.01,145.95
1/18/2013,194.03,194.47,147.97,148.33,141.35,144.45
1/17/2013,193.85,193.65,147.7,148,140.89,141.01
1/16/2013,192,192.59,146.77,147.05,138.94,141.09
1/15/2013,191.31,192.5,146.29,147.07,135.55,135.59
1/14/2013,192.82,192.62,146.89,146.97,137.19,136.13
1/11/2013,194.15,194.45,147.04,147.07,137.02,137.13
1/10/2013,192.65,192.88,146.73,147.08,135.07,137.37
1/9/2013,193.48,192.32,145.87,145.92,133.4,134.32
1/8/2013,192.92,192.87,145.71,145.55,133.71,133.05
1/7/2013,193.4,193.14,145.85,145.97,134.12,134.26
1/4/2013,194.19,193.99,145.97,146.37,130.93,134.51
1/3/2013,195.67,195.27,145.99,145.73,131.7,130.94
1/2/2013,194.09,196.35,145.11,146.06,131.3,131.66
12/31/2012,189.23,191.55,139.66,142.41,125.42,127.56
12/28/2012,191.11,189.83,140.64,140.03,125.73,125.52
12/27/2012,191.53,192.71,141.79,141.56,127.55,126.67
12/26/2012,192.21,191.95,142.64,141.75,128.16,127.16
12/24/2012,193.05,192.4,142.48,142.35,127.87,127.54
12/21/2012,193.1,193.42,142.17,142.79,126.63,128.44
12/20/2012,194.47,194.77,144.38,145.12,127.35,129.72
12/19/2012,195.46,195.08,145.53,144.29,128.67,127.25
12/18/2012,193.85,195.69,144,145.37,124.82,127.77
12/17/2012,191.76,193.62,142.47,143.77,120.19,123.49
12/14/2012,191.69,191.76,142.32,142.1,118.45,119.36
12/13/2012,192.18,191.99,143.42,142.63,117.81,118.5
12/12/2012,194.6,192.95,144,143.51,119.29,118.09
12/11/2012,193.18,194.2,143.06,143.44,117.56,118.86
12/10/2012,192.17,192.62,142.21,142.47,116.61,117.01
12/7/2012,190.14,191.95,142.53,142.41,117.77,116.57
12/6/2012,189.17,189.7,141.37,141.98,117.22,117.2
12/5/2012,189.01,188.65,141.37,141.5,117.02,117.13
12/4/2012,189.71,189.36,141.44,141.25,118.12,116.58
12/3/2012,190.76,189.48,142.8,141.45,118.42,118.4
11/30/2012,191.75,190.07,142.14,142.15,117.96,117.79
11/29/2012,192.75,191.53,141.99,142.12,120,118.73
11/28/2012,190.98,191.98,139.76,141.46,117.25,119.33
11/27/2012,192.08,191.23,140.91,140.33,120.5,118.41
11/26/2012,192.45,192.88,140.65,141.05,119.16,120.94
11/23/2012,191,193.49,140.13,141.35,118.67,120.31
11/21/2012,189.3,190.29,139.31,139.45,118.18,117.7
11/20/2012,189.88,189.2,138.91,139.19,117.93,118.09
11/19/2012,188.62,190.35,137.9,139.13,117.2,118.3
11/16/2012,186.33,186.94,135.9,136.37,115.53,115.84
11/15/2012,185.83,185.85,135.98,135.7,114.51,115.44
11/14/2012,189.14,185.51,138.21,135.93,116.65,114.24
11/13/2012,188.39,188.32,137.54,137.79,115.89,116.47
11/12/2012,190.03,189.25,138.59,138.27,116.79,117.24
11/9/2012,189.85,189.64,137.62,138.16,114.71,116.15
11/8/2012,191.4,190.1,139.7,138.04,119.21,115.27
11/7/2012,193.36,191.16,141.66,139.72,122.8,117.98
